username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
KSIXI|2018-07-04 14:06|0|7|"The 2016 firearm death rate in NJ was 5.5 (6th best in the country). Your Ohio death rate was 12.9 (25th). It's incredible how you push your agenda with zero facts to support it. https://twitter.com/KaitMarieox/status/1012832689940987905 …"||||"1014480662831788033"|https://twitter.com/KSIXI/status/1014480662831788033
IndyGumby|2018-07-03 22:02|0|0|"All they need to know is they have 5.5 firearm deaths per 100k people while Alabama with loose gun laws has 21.5 and your own Ohio has 12.9. What other facts are needed to support these laws? (NJ's murder rate is also lower)"||||"1014238063319494663"|https://twitter.com/IndyGumby/status/1014238063319494663
Carmuhl|2018-07-03 06:22|0|1|"Ohio had 3x more forearm deaths than Jersey in 2016 and more than double the amount of firearm deaths per 100k people. Could that be gun control laws actually helping protect people ????"||||"1014001442816954368"|https://twitter.com/Carmuhl/status/1014001442816954368
TacticalSpork93|2018-06-30 02:02|0|0|"Umm...Wrong! Ohio had 310 firearm related deaths compared to 19% gun ownership New York: 512 firearm related deaths compared to only 10% gun ownership...and a population that's 8 million more than Ohio. You're argument becomes invalid when you cherry pick data. # Misinformed # 2a"|||# #|"1012848744524582912"|https://twitter.com/TacticalSpork93/status/1012848744524582912
QA_NJ|2018-06-29 22:14|1|1|"Now do the homicide rates on each state. What percentage of those Ohio “firearm deaths” are suicides? And before you blame guns for suicides, keep in mind suicides correlate with population density and NJ is the most densely populated state: https://www.citylab.com/equity/2013/07/unsettling-link-between-sprawl-and-suicide/6197/ …"||||"1012791555684433926"|https://twitter.com/QA_NJ/status/1012791555684433926
FifiAdelie|2018-06-29 21:09|0|0|"1) You're in New Jersey—not New York 2) You're from Ohio: •OHIO Firearm deaths: 12.9 per 100K •NEW YORK Firearm deaths: 4.4 per 100K •NEW JERSEY Firearm deaths: 5.5 per 100K You're ~3X more likely to be killed by a gun in your open carry home state of Ohio than in New York"||||"1012775140570984449"|https://twitter.com/FifiAdelie/status/1012775140570984449
ReluctantWarri2|2018-06-29 20:29|0|1|"This one lives in Ohio. She lies. •OHIO Firearm deaths: 12.9 per 100K •NEW YORK Firearm deaths: 4.4 per 100K •NEW JERSEY Firearm deaths: 5.5 per 100K"||||"1012764995657043968"|https://twitter.com/ReluctantWarri2/status/1012764995657043968
TMcGillz|2018-06-29 17:42|0|2|"And the reported violent crime rate per 100,000 (2016) in New York vs Ohio is 376.2 vs 300.3 respectively. Firearm deaths is also a dishonest metric that includes suicides and defensive lawful uses of firearms."||||"1012722940440449025"|https://twitter.com/TMcGillz/status/1012722940440449025
Ejayjones3|2018-06-29 16:40|0|0|"1) You're in New Jersey—not New York 2) You're from Ohio: •OHIO Firearm deaths: 12.9 per 100K •NEW YORK Firearm deaths: 4.4 per 100K •NEW JERSEY Firearm deaths: 5.5 per 100K You're ~3X more likely to be killed by a gun in your open carry home state of Ohio than in New York"||||"1012707470060351493"|https://twitter.com/Ejayjones3/status/1012707470060351493
flipsville|2018-06-29 15:01|0|1|"Hey idiot! •OHIO Firearm deaths: 12.9 per 100K •NEW YORK Firearm deaths: 4.4 per 100K •NEW JERSEY Firearm deaths: 5.5 per 100K"||||"1012682404723650560"|https://twitter.com/flipsville/status/1012682404723650560
