username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
AniB64|2018-05-24 17:35|0|0|"Sounds about right. Remember McConnell’s floor speech on AUMF for Syria."||||"999675171001679872"|https://twitter.com/AniB64/status/999675171001679872
StoicViper|2018-05-22 12:55|0|2|"When listening to @ SecPompeo's speech on Iran, I couldn't help keep nodding to everything he said. It was accurate, from the lies about the # JCPOA to # IRGC strength in places like Syria. Iran is the biggest state sponsor of Terrorism and the Ayatollah regime must be confrontated."||@|# #|"998879913863143426"|https://twitter.com/StoicViper/status/998879913863143426
mythirdventure|2018-05-21 18:40|0|0|"# iran # iranprotest don't manipulate his speech. He did say D revenue & economic benefit is not going 2 people of Iran & it is spend in Gaza & Syria. We, D people of Iran, support Trump decision because D revenue is not going to people. We don't give a shit about Palestine & Gaza"|||# #|"998604340091744257"|https://twitter.com/mythirdventure/status/998604340091744257
gaylelemmon|2018-05-21 17:51|1|1|"On # Iran speech. Notable that on the ground in # Syria earlier this month, much discussion about role of Iran in the country and questions of whether both Russia and Syrian regime also would like to limit that: https://twitter.com/joyce_karam/status/998557241568612352 …"|||# #|"998592133262000128"|https://twitter.com/gaylelemmon/status/998592133262000128
aslamx5|2018-05-21 16:58|0|2|"Is Mike Pompeo the new president of Iran and Syria? @ SecPompeo I didn't hear anywhere in your speech where you talk about Israel nuclear weapons? Is it acceptable for Israel to have nukes and commit aggression against it's neighbours? How about # Saudi killing of Yemenis? # MAGA"||@|# #|"998578769173663744"|https://twitter.com/aslamx5/status/998578769173663744
ColtsPacers_Fan|2018-05-21 04:47|0|0|"CNSNews. Hussein Obama was criticized for playing golf immediately after giving a speech about the brutal beheading of American journalist James Foley by the Islamic State of Iraq & Syria (ISIS). A close look at his presidency shows that Obama’s behavior was part of pattern."||||"998394762708373504"|https://twitter.com/ColtsPacers_Fan/status/998394762708373504
S_Syria_|2018-05-20 15:24|0|0|"Now we’re getting somewhere this isn’t about free speech u just don’t ppl to criticize you"||||"998192866718445568"|https://twitter.com/S_Syria_/status/998192866718445568
AdelsGrail|2018-05-20 15:00|0|0|"I specifically said "like most of you do" and "respect" I'm talking about a specific trend of people using free speech to talk shit. Your intent matters and your method of delivery matters just as much."||||"998186753331621888"|https://twitter.com/AdelsGrail/status/998186753331621888
S_Syria_|2018-05-20 14:54|0|1|"Sorry if u don’t want my opinion don’t show up in my timeline , and second yeah you really don’t understand free speech if that’s what u think about it"||||"998185166915780608"|https://twitter.com/S_Syria_/status/998185166915780608
BenFoldy|2018-05-19 14:42|0|2|"Lisa Wedeen wrote a great book about (pre-war) Syria called Ambiguities of Domination whose thesis was that compelling behavior through culture and speech acts, however ironically, is a cheap and powerful strategy for the state to create coercive compliance and self-regulation"||||"997819832262447104"|https://twitter.com/BenFoldy/status/997819832262447104
zezezebe|2018-05-18 19:42|0|0|""Americans are free to advocate striking Syria" - how about advocating to strike the White House? The argument sounds like a Soviet joke about freedom of speech in the USSR demonstrated by people's ability to denounce Reagan in the middle of Red Square."||||"997532956427108352"|https://twitter.com/zezezebe/status/997532956427108352
miss_speech|2018-05-18 09:03|0|0|"He doesn't know the difference between Libya and Syria, does he. He's talking about the "Libya model" and Qaddafi, and the (seemingly still on the same topic) says "Syria"."||||"997372104722079744"|https://twitter.com/miss_speech/status/997372104722079744
XexorWeglin|2018-05-18 05:17|0|1|"Does this include protecting # Syria from missiles coming from # Israel? How about protecting them from us and our interference in a sovereign country's affairs? Or was "we do not seek to impose our way of life on anyone" in @ realDonaldTrump's inaugural speech just smoke?"||@|# #|"997315209915260930"|https://twitter.com/XexorWeglin/status/997315209915260930
geopconsulting|2018-05-17 21:25|0|0|"Donald Trump has no idea what he's talking about, in the end of his speech he mixes up Libya with Syria. Nevertheless, if Kim Jong Un meets with Trump after these threats, it won't end well for him. https://twitter.com/ABC/status/997183809635287040 …"||||"997196398423691265"|https://twitter.com/geopconsulting/status/997196398423691265
ALCJHR|2018-05-16 17:25|13|12|"Must Read! # Turkish historian's speech for @ WorldatMitchell award. Confronting denial of # ArmenianGenocide is not about the past, but about # Turkey's present and its relations with # Armenian/s, # Kurds, minorities & its neighbors. http://worldwithoutgenocide.org/dr-akcams-remarks … # Syria # Greece # Israel"||@|# # # # # # # #|"996773746521333765"|https://twitter.com/ALCJHR/status/996773746521333765
pisstakenews|2018-05-16 08:32|0|0|"Brilliant speech . If this was Syria, we'd be bombing them into oblivion right about now."||||"996639463056072704"|https://twitter.com/pisstakenews/status/996639463056072704
JohnGordon1963|2018-05-15 13:05|0|0|"@ theresa_may I expect you will banging on about the human rights of the Palestinian people with an impassioned plea to the HOC, akin to your outrage over Syria and the Syrian people, as its the "right thing to do" Look forward to your speech."||@||"996345877571698688"|https://twitter.com/JohnGordon1963/status/996345877571698688
AndyEvans77|2018-05-14 23:18|1|6|"If this was Syria, UK and US govts would be tripping over themselves trying to make a speech about how this is unacceptable and a line has been crossed."||||"996137717959446528"|https://twitter.com/AndyEvans77/status/996137717959446528
RickFandango|2018-05-14 20:14|2|2|"I wonder what @ theresa_may & @ BorisJohnson have to say about # Gaza today? The other week the governments dear concern over the deaths of Syrian children was part of a propaganda speech to justifiying bombing Syria."||@ @|#|"996091447479881728"|https://twitter.com/RickFandango/status/996091447479881728
IntelTweet|2018-05-14 18:20|0|0|"Hezbollah Secretary General Hassan Nasrallah has delivered a speech dismissing Israeli "lies... about the elimination of Iranian capabilities in Syria" and boasting "the time of intimidation and threats is over with.""||||"996062703419641857"|https://twitter.com/IntelTweet/status/996062703419641857
StuartBirdman2|2018-05-14 05:48|0|0|"InfoWars founder Alex Jones broke down in tears during a rant about president Donald Trump authorizing an airstrike on Syria Trump said during a speech Friday he was joining forces with France and Britain in a coordinated 'precision strike' in retaliation for a chemical weapons a"||||"995873533707288576"|https://twitter.com/StuartBirdman2/status/995873533707288576
Eyecatcher_Pro|2018-05-13 13:17|0|0|"Kind of ironic the s called Leeds Friends of Syria who allegedly support freedom of speech... there is nothing sinister about them is there?"||||"995623979779067904"|https://twitter.com/Eyecatcher_Pro/status/995623979779067904
grannies4equal|2018-05-13 13:02|0|0|"This is not about challenging main stream thinking. It is about a 'lady warrior' voicing for a totalitarian regime perpetrating genocide & mass ethnic cleansing against the rural & urban poor & workers of Syria who dared to ask for justice. Hate speech, support of warcrimes. pic.twitter.com/KZxgpNCjvX"||||"995620214829146113"|https://twitter.com/grannies4equal/status/995620214829146113
Brian_Whit|2018-05-13 12:19|40|84|"The issue with Vanessa Beeley and the @ merthyrrising festival is not free speech. It's about someone who defends a repressive regime (in Syria) having been invited to take part in an event that celebrates resistance to oppression."||@||"995609506708148229"|https://twitter.com/Brian_Whit/status/995609506708148229
2flamesburning1|2018-05-12 18:36|19|40|"Interesting that @ guardian write about fascist states like USA destroying free speech when themselves pressure events to stop anyone who doesn't agree with their profile syria war narrative to speak . https://twitter.com/PollyTickal/status/995327010015625216 …"||@||"995341949665202177"|https://twitter.com/2flamesburning1/status/995341949665202177
HeinrichAugust2|2018-05-10 15:51|0|1|"This article conveniently neglects to mention the fact that Kucinich has refused to condemn Bashar al-Assad, delivered a paid speech to a pro-Assad group, and traveled to Syria last year to meet the genocidal maniac. But yes, tell me more about what a darling progressive he is."||||"994575586784931842"|https://twitter.com/HeinrichAugust2/status/994575586784931842
SamParmesan|2018-05-10 15:43|1|3|"This article conveniently neglects to mention the fact that Kucinich has refused to condemn Bashar al-Assad, delivered a paid speech to a pro-Assad group, and traveled to Syria last year to meet the genocidal maniac. But yes, tell me more about what a darling progressive he is. https://twitter.com/Slate/status/994396005494861825 …"||||"994573731405189121"|https://twitter.com/SamParmesan/status/994573731405189121
Treat_Me_Gently|2018-05-10 11:56|3|0|". # IranDeal # GolanHeights # Iran @ UKLabour . Cheney, Rumsfeld etc... Necons and the Rise Of The American Empire Powerful speech by General Wesley Clark about Iraq and then Syria and next Iran... https://www.youtube.com/watch?v=zuvV8-82LPQ … ."||@|# # #|"994516503750995968"|https://twitter.com/Treat_Me_Gently/status/994516503750995968
johnstcool|2018-05-09 19:59|0|0|"@ NickFerrariLBC was nice to hear you giving a dam about free speech this morning, maybe this might interest you re syria chemical attack https://www.independent.co.uk/voices/syria-chemical-attack-gas-douma-robert-fisk-ghouta-damascus-a8307726.html …"||@||"994275681512165381"|https://twitter.com/johnstcool/status/994275681512165381
1962Wren|2018-05-09 14:07|0|0|"Watched that speech of hers to the # Aleppo debate again recently, made me sad. I remember at the time being both astonished and delighted that somebody in her position felt just the same way about # Syria as I did."|||# #|"994187074914930688"|https://twitter.com/1962Wren/status/994187074914930688
New_Age_Seeker|2018-05-09 02:52|0|2|"And they could have had the courtesy to pause the show feed during those stupid speeches like abc did for agents of shield when Donald Trump had his stupid speech about bombing Syria"||||"994017283772223489"|https://twitter.com/New_Age_Seeker/status/994017283772223489
kuffodog|2018-05-08 23:12|1|0|"Terrorist Jews attack Syria, sovereign member of UN yet again... while crying like cunts in their media as a chorus for Trump's belligerence and extortion speech on JCPOA, as they shuffle around IDF in Golan Heights, lying about impeding attack by Iran. https://twitter.com/DavidADaoud/status/993944031699914752 …"||||"993961838525083648"|https://twitter.com/kuffodog/status/993961838525083648
AliciaM0325|2018-05-08 22:16|2|3|"So it begins! Did Trump had a chance to be done with his speech about the Iran Nuclear Deal before Israel bombed Syria?"||||"993947846192848896"|https://twitter.com/AliciaM0325/status/993947846192848896
TheGuy_Mo|2018-05-08 22:16|0|0|"So Israel aready attacking Syria after that trump speech. A lot of people about to die coz "Make America great again""||||"993947732510478341"|https://twitter.com/TheGuy_Mo/status/993947732510478341
rafsanchez|2018-05-08 22:01|2|6|"Trump's speech finished less than two hours ago and we already have reports of an Israeli strike in Syria, possibly a pre-emptive attack if Israeli believed Iran was about to launch a strike. Buckle up."||||"993944042806407169"|https://twitter.com/rafsanchez/status/993944042806407169
askeamonn|2018-05-08 21:37|0|1|"and everyone says "America never bombed Syria under Obama", well in Budget '12 speech he bombed t entire Western World of $ t's for W'St pimps & he & ye all got away with it scott-free, so me being you I wouldn't be 'so high &mighty' about American banking over European equivalent"||||"993938042116366337"|https://twitter.com/askeamonn/status/993938042116366337
Bahram_Gooor|2018-05-08 21:22|4|10|"All the points that @ realDonaldTrump made in his speech were completely true about Iran regime. Iran regime used the money given by @ BarackObama to spread terrorism in the Middle East, specifically in Yemen and Syria."||@ @||"993934267494387712"|https://twitter.com/Bahram_Gooor/status/993934267494387712
