Similarity|Number|Text|Id
988667762359918592|84|This California State Assembly bill would BAN the Bible! | https://wp.me/p8q1rW-vE # thetrumpettimes # Jesusfirst # JesusSavespic.twitter.com/M8BvDYYd1A
1.0|13|This California State Assembly bill would BAN the Bible! https://youtu.be/tdhqCTrd1-4  YOU HAD BETTER WAKE UP AMERICA!|996388378047168512
1.0|18|I can't believe that the California state Assembly would seriously enact a law to ban books including the Holy Bible. Someone please tell me this isn't true. https://twitter.com/Liz_Wheeler/status/986736393635348480 …|994080858662428672
1.0|61|BREAKING NEWS This California State Assembly bill would BAN the Bible FOREVER!God knows.This could b test https://youtu.be/-68Gf4004k0|989757328760102914
1.0|117|This California State Assembly bill would BAN the Bible! By Tripping Point https://www.youtube.com/watch?v=siTCwnsGjSk&feature=share …|988124864035737600
0.8935|80|Our World is Awakening: California State Assembly bill would BAN the Bible... http://fantonino-changingworld.blogspot.com/2018/04/california-state-assembly-bill-would.html?spref=tw …|988792454794174464
0.8935|103|Our World is Awakening: California State Assembly bill would BAN the Bible... http://fantonino-changingworld.blogspot.com/2018/04/california-state-assembly-bill-would.html?spref=tw …|988379503096410114
0.8878|92|California State Assembly bill would ban the Bible. https://www.youtube.com/watch?v=tdhqCTrd1-4&feature=youtu.be …|988462502886428673
0.8555|113|California State Assembly is voting on whether to ban the Bible and other relgious books from being sold. Is this really America?|988189098434179072
0.8513|5|California needs the Bible! Watch This California State Assembly bill would BAN the Bible!" on YouTube - https://youtu.be/tdhqCTrd1-4"|1001903820635590656
0.845|95|California State Assembly member Travis Allen, who is running for governor as a Republican said literally, according to how this law is written, yes, it would [Ban the Bible]." I think he needs to learn what literally means (1/4)"|988434898548678656
0.8246|46|Watch “This California State Assembly bill would BAN the Bible!” on YouTube http://youtube.com/watch?v=tdhqCTrd1-4&feature=youtu.be …http://aleon072.co/watch-this-california-state-assembly-bill-would-ban-the-bible-on-youtube/ …|990598867157569541
0.8237|100|This California State Assembly bill would BAN the Bible! https://youtu.be/siTCwnsGjSk  via @ YouTube. I feel sorry for California|988393645614170112
0.8231|8|I liked a @ YouTube video http://youtu.be/XLtRDoerVUw?a  This California State Assembly bill would BAN the Bible!|999187025168359425
0.8231|11|I added a video to a @ YouTube playlist http://youtu.be/XLtRDoerVUw?a  This California State Assembly bill would BAN the Bible!|996788691409559553
0.8231|23|I added a video to a @ YouTube playlist http://youtu.be/X4YhOFXsYZw?a  This California State Assembly bill would BAN the Bible!|992438602415013889
0.8231|24|I added a video to a @ YouTube playlist http://youtu.be/X4YhOFXsYZw?a  This California State Assembly bill would BAN the Bible!|992438567396929536
0.8231|28|I added a video to a @ YouTube playlist http://youtu.be/XLtRDoerVUw?a  This California State Assembly bill would BAN the Bible!|992027833504620544
0.8231|30|I liked a @ YouTube video http://youtu.be/tdhqCTrd1-4?a  This California State Assembly bill would BAN the Bible!|991870554645975040
0.8231|33|I liked a @ YouTube video http://youtu.be/tdhqCTrd1-4?a  This California State Assembly bill would BAN the Bible!|991751157650526209
0.8231|36|I liked a @ YouTube video http://youtu.be/XLtRDoerVUw?a  This California State Assembly bill would BAN the Bible!|991208211532443648
0.8231|39|I liked a @ YouTube video http://youtu.be/siTCwnsGjSk?a  This California State Assembly bill would BAN the Bible!|991136199300538368
0.8231|48|I liked a @ YouTube video http://youtu.be/XLtRDoerVUw?a  This California State Assembly bill would BAN the Bible!|990409176798171137
0.8231|55|I liked a @ YouTube video http://youtu.be/XLtRDoerVUw?a  This California State Assembly bill would BAN the Bible!|990251630183448582
0.8231|57|I added a video to a @ YouTube playlist http://youtu.be/XLtRDoerVUw?a  This California State Assembly bill would BAN the Bible!|990068973852119040
0.8231|77|I liked a @ YouTube video http://youtu.be/XLtRDoerVUw?a  This California State Assembly bill would BAN the Bible!|988867174486945792
0.8231|78|I added a video to a @ YouTube playlist http://youtu.be/siTCwnsGjSk?a  This California State Assembly bill would BAN the Bible!|988863813809295361
0.8231|81|I added a video to a @ YouTube playlist http://youtu.be/2IztYPzuqQ0?a  This California State Assembly bill would BAN the Bible!|988765862311202816
0.8144|90|This California State Assembly bill would BAN the Bible! No doubt, California is a Liberal Sh-thole. https://www.facebook.com/AntiqueUS/posts/1752045998151764 …|988497124496101376
0.8034|91|. California State Assembly wants the Bible banned in their state. Luk 23:34 Then said Jesus, Father, forgive them; for they know not what they do|988462623858491393
0.7961|0|# HappeningNow This California State Assembly bill would BAN the Bible!|1003437400641728513
0.7961|1|This California State Assembly bill would BAN the Bible! https://www.youtube.com/attribution_link?a=LUpxVikmC5E&u=%2Fwatch%3Fv%3DtdhqCTrd1-4%26feature%3Dshare …|1003082330007851008
0.7961|7|This California State Assembly bill would BAN the Bible! https://www.youtube.com/attribution_link?a=wvb31TW_ypY&u=%2Fwatch%3Fv%3DXLtRDoerVUw%26feature%3Dshare …|999345865528692737
0.7961|32|This California State Assembly bill would BAN the Bible! https://www.youtube.com/attribution_link?a=mPTvA-X6_Jk&u=%2Fwatch%3Fv%3DtdhqCTrd1-4%26feature%3Dshare …|991751201837338624
0.7961|38|This California State Assembly bill would BAN the Bible! https://www.youtube.com/attribution_link?a=mGDs5kf6Gqk&u=%2Fwatch%3Fv%3DXLtRDoerVUw%26feature%3Dshare …|991141777896890368
0.7961|42|This California State Assembly bill would BAN the # BIBLE! https://www.facebook.com/permalink.php?story_fbid=10215730619841541&id=1324504847 …|990785372962639873
0.7961|44|This California State Assembly bill would BAN the BIBLE! https://www.facebook.com/permalink.php?story_fbid=986427361513851&id=233399336816661 …|990666565266780160
0.7961|56|This California State Assembly bill would BAN the Bible! https://www.youtube.com/watch?v=XLtRDoerVUw&feature=share …|990239702610513922
0.7961|60|This California State Assembly bill would BAN the Bible! https://www.facebook.com/jim.brown.18/posts/1643610482354831 …|989779573742026753
0.7961|63|This California State Assembly bill would BAN the Bible! # Topbuzzhttp://www.topbuzz.com/article/i6546206110729110026?user_id=6411263903312905226&language=en&region=ca&app_id=1106&impr_id=6548972783328577801&gid=6546206117054120201&c=tw&language=en …|989715602993377281
0.7961|66|This California State Assembly bill would BAN the Bible! https://www.youtube.com/watch?v=XLtRDoerVUw&feature=player_embedded …|989345953500016640
0.7961|70|This California State Assembly bill would BAN the Bible! https://www.facebook.com/LovingSelfTruth/posts/1781874395184118 …|989149107309760513
0.7961|71|This California State Assembly bill would BAN the Bible! https://www.facebook.com/TippingPointonOAN/videos/1007453919406985/UzpfSTEwMDAwMTAyOTQyMDMzODoxOTE1MTM0ODAxODY0MTQ5/ …|989025556497883136
0.7961|83|This California State Assembly bill would BAN the Bible!: https://ift.tt/2HpfoQS|988676331448750080
