0|The Ohio Legislature is considering red flag" and other gun laws. Firearm deaths have risen in Ohio @ RichCordray says. One expert says opioids are to blame. https://bit.ly/2qqT428 pic.twitter.com/rAjnd8IdHi"|997485937532776448|0.5078
1|. @ RichCordray, a Democrat running in # OHGov primary, noted an increase in firearm deaths in Ohio. An expert pointed to the opioid crisis as a factor. https://bit.ly/2qqT428 pic.twitter.com/mBf2pWql0n|993445337003110407|0.7788
2|# NRA ratings and claims about firearm deaths have been hot topics in # OHGov primary. A look at fact-checks from PolitiFact Ohio: https://bit.ly/2rSuR8R pic.twitter.com/aTJZEvIWjz|992474765653880833|0.6032
3|Ohio firearm deaths have increased, @ RichCordray said. One expert pointed to the opioid crisis as a factor. # OHGovpic.twitter.com/JINP4hOn5Y|991685240899932161|0.8473
4|Barbara Warner 1997. A wonderful funny intelligent woman murdered by her abusive husband. Her death prompted Ohio to deal with DV. Her husband should never had a firearm. She would have been able to walk away from the physical abuse. https://www.odh.ohio.gov/-/media/ODH/ASSETS/Files/health/SADVP/Barbara-Warner-Workplace-Violence-July2015.pdf?la=en …|988194612253741061|0.6571
5|Ohio mom, with concealed carry permit, accidentally procures a firearm, accidentally loads it with ammo, accidentally carries it, then accidently 2nd Amendments her 2-year-old daughter to death. # 2A # Gunshttps://www.rawstory.com/2018/04/ohio-mom-concealed-carry-permit-accidentally-shoots-kills-2-year-old-daughter/#.Wtv_Ma9zDqA.twitter …|987893995790655489|0.6922
6|Using @ CDCgov data, Rick Rosenfeld @ UMSL_CCJ @ umsl showed that the increases in # firearm deaths are primarily in the # midwest and # Ohio @ AmySherman1 @ PolitiFact @ TheJusticeDept # gunviolence # opioids # Homicidehttps://bit.ly/2qqT428|985905587417501700|0.529
7|Since 1999, firearm deaths in Ohio have risen by 58%" -Richard Cordray (candidate for Ohio governor)"|985903541146570752|0.7805
8|PolitiFact: Cordray on point about increase in firearm deaths in Ohio. https://www.news5cleveland.com/news/political/politifact-cordray-on-point-about-increase-in-firearm-deaths-in-ohio …|984794487372374017|0.7861
9|Richard Cordray - Cordray on point about increase in firearm deaths in Ohio http://www.politifact.com/ohio/statements/2018/apr/12/richard-cordray/cordray-point-about-increase-firearm-deaths-ohio/?utm_source=dlvr.it&utm_medium=twitter … | http://teaist.org !|984461886564352000|0.8819
10|Ohio murder defendant, William Knight, was convicted Tuesday of murder and felonious assault with a firearm in the death of an unarmed black man, 24-year-old Keith Johnson http://bit.ly/2v80HjK pic.twitter.com/QsC4XQZ27S|983731072386129920|0.5479
