Similarity|Number|Text|Id
9.708065738356163e+17|12|Review | ‘Roman J. Israel, Esq.’: Denzel Washington delivers a performance for the ages http://wapo.st/2zYc7Y2?tid=ss_tw-bottom&utm_term=.90d720b32ddd …
1.0|160|"Denzel Washington: Trump’s Election Saved Us From ‘Orwellian Police State’ http://donaldtrumpus.com/denzel-washington-trumps-election-saved-us-from-orwellian-police-state/ …pic.twitter.com/HOzpai5HAs"|"970757025960513536"
0.6779|116|nos oscars falaram de poucos atores pretos a ter nomeaçoes. mas quantos atores pretos se destacaram nas ultimas decadas? morgan freeman, samuel l. jackson, denzel washington... ha mais?|9.707705487531581e+17
0.6714|120|Les comparto otra de mis críticas de este fin de semana en el periódico @ LaRazon_mx. Va sobre la película que le valió a @ Denzel Washington, la nominación a los # Oscars, # RomanJIsraelEsq, la trae @ CinepolisDisthttps://www.razon.com.mx/roman-j-israel-esq-ante-drama-fallido-denzel-washington-luce/ …|9.707688900988396e+17
0.6674|107|Hattie McDaniel, Sidney Poitier, Louis Gossett Jr., James Earl Jones, Diana Ross, Denzel Washington (diversas vezes), Cuba Gooding Jr., Whoopi Goldberg, Halle Berry, Jamie Foxx, Morgan Freeman, Forest Whitaker, Jennifer Hudson, Viola Davis (diversas vezes), Ruby Dee, [continua]|9.707730863488369e+17
0.6287|70|Astro de 'Pantera Negra' revela que Denzel Washington pagou por sua faculdade https://fb.me/73oiIfhMd|9.70784227024343e+17
0.6282|88|E o oscar... Ainda prefiro o trabalho do Denzel Washington como melhor ator. pronto. falei.|9.707784509350748e+17
0.6256|115|89th Academy Awards: (Best Actor) Casey Affleck – Manchester by the Sea Andrew Garfield – Hacksaw Ridge Ryan Gosling – La La Land Viggo Mortensen – Captain Fantastic Denzel Washington – Fences|9.70770793889194e+17
0.6159|74|Hehehe, Trump, o candidato da Manchuria, conhecem o filme? Versões com Frank Sinatra e Denzel Washington https://twitter.com/axios/status/970763442813591558 …|9.707827386293944e+17
0.6045|152|Hey Nancy, do you have the stats on men of color in the acting categories? Off the top of my head: Morgan Freeman, Sidney Poitier, Cuba Gooding, Jr, Jamie Fox, Denzel Washington, Forest Whitaker, Mahershala Ali. Any Latinx, Asian?|9.707633899442176e+17
