username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
joebotexe|2018-04-20 08:50|0|0|"Chick-fil-a appreciation day is also an e-how page on how to set up false instagram photos."||||"987221972949131264"|https://twitter.com/joebotexe/status/987221972949131264
shrillerthanyou|2018-04-18 17:50|0|0|"Given the number of times your tweet was retweeted, it appears 7 people will be attending today's Chick-fil-A appreciation day. I hope staff members can keep up with the increased demand."||||"986633120077135872"|https://twitter.com/shrillerthanyou/status/986633120077135872
Katastrophic331|2018-04-16 17:25|0|0|"It’s chili, I got a book from a monk and free chick fil a because of last weeks employee appreciation day. Today is such a better day holy"||||"985901984006983681"|https://twitter.com/Katastrophic331/status/985901984006983681
HermCHO|2018-04-16 01:44|0|4|"This coverage is drawing attention away from the larger scandal exposed by Ted Cruz in the hearing ... Facebook’s suppression of Chick-Fil-a Appreciation Day. That was at least as terrible as the earlier Bowling Green Massacre, but like that, now sadly forgotten."||||"985665087787687938"|https://twitter.com/HermCHO/status/985665087787687938
THEMissMarie|2018-04-15 20:03|0|0|"watched @ tedcruz FB questions. Surprised at chick-fil-a appreciation day ban. went to chick-fil-a site saw I it was no longer liked so I clicked like. SURPRISINGLY the non-bias algorithms recommended for me the following for clicking on 1, ONE link all day to a fast food place. pic.twitter.com/rC5HXFeYKL"||@||"985579375075647488"|https://twitter.com/THEMissMarie/status/985579375075647488
THEMissMarie|2018-04-15 19:59|0|0|"@ tedcruz I enjoyed FB hearing. Surprised about chick-fil-a appreciation day. Didn't find on FB. Went to Chick-fil-a & found I no longer had it as liked or following so I clicked like SURPRISING what popped up as recommend 4u by liking a fast food place. non-bias algorithms pic.twitter.com/ZOaE7845g7"||@||"985578261143994368"|https://twitter.com/THEMissMarie/status/985578261143994368
chrysgeorge|2018-04-14 13:02|1|0|""Chick-fil-A Appreciation Day" "Facebook" # SaturdayMorning O the Charlotte Observer opinion article 'Warning; Chick-fil-A Facts are Toxic to Your Rage' https://youtu.be/l7css6Vnggo . Church|Orthodox · · open to all https://www.facebook.com/notes/chrys-george/the-orthodox-churchcatholic-that-is-universal-open-to-all/1569667609735239/ …."|||#|"985111051137142784"|https://twitter.com/chrysgeorge/status/985111051137142784
tiffomby|2018-04-13 22:35|0|3|"on my list of people I don't envy, next to Chick-fil-a workers on Cow Appreciation Day:,the writers trying to come up with the Incredibles 2 plot. How do you write a story to match 15 YEARS of hopeful anticipation?"||||"984892855679365121"|https://twitter.com/tiffomby/status/984892855679365121
JenneLouise|2018-04-13 19:58|0|0|"“Facebook has initially shut down the ‘Chick-fil-A Appreciation Day’ page... To a great many Americans, that appears to be a pervasive pattern of political bias” What a time to be alive - you couldn’t make this shit up... # ChickfilA # TedCruz # ChickenPoliticspic.twitter.com/Vc9DhGkwTh"|||# # #|"984853406014689280"|https://twitter.com/JenneLouise/status/984853406014689280
ferrasvinh|2018-04-13 18:22|0|0|""What I want to know is why FB has targeted Chick-fil-A appreciation day pages for elimination. Appreciating Chick-fil-A is a type of speech, some would say the highest form of speech. This is the most important thing I could possibly ask about today." https://www.washingtonpost.com/blogs/compost/wp/2018/04/11/the-zuckerberg-hearings-condensed/ …"||||"984829151961124865"|https://twitter.com/ferrasvinh/status/984829151961124865
chrysgeorge|2018-04-13 12:44|1|0|""Chick-fil-A Appreciation Day" "Facebook" # FridayFeeling O the Charlotte Observer opinion article 'Warning; Chick-fil-A Facts are Toxic to Your Rage' https://youtu.be/l7css6Vnggo . Church|Orthodox · · open to all https://www.facebook.com/notes/chrys-george/the-orthodox-churchcatholic-that-is-universal-open-to-all/1569667609735239/ …."|||#|"984744118000783361"|https://twitter.com/chrysgeorge/status/984744118000783361
ToyDex_YT|2018-04-13 10:10|0|0|"I liked a @ YouTube video http://youtu.be/OxOXQAQphGo?a  Chick-Fil-A's Cow Appreciation Day - 2013 (Dress Like Me, Git Free Chikin')"||@||"984705282218516480"|https://twitter.com/ToyDex_YT/status/984705282218516480
BethForster0405|2018-04-12 20:42|1|1|"Facebook’s actions have ranged from seemingly petty things – like shutting down a “Chick-Fil-A Appreciation Day” to blocking posts from journalists, specific religious groups and most recently, grassroots Trump supporters Diamond and Silk."||||"984502093380771840"|https://twitter.com/BethForster0405/status/984502093380771840
RadicalKiba|2018-04-12 18:57|0|4|"Of course it was Ted Cruz who brought up facebook shutting down the facebook page for Chick-Fil-A Appreciation Day. Why am I not surprised"||||"984475529318461440"|https://twitter.com/RadicalKiba/status/984475529318461440
chrysgeorge|2018-04-12 07:53|0|0|""Chick-fil-A Appreciation Day" "Facebook" # ThursdayThoughts O the Charlotte Observer opinion article “Warning; Chick-fil-A Facts are Toxic to Your Rage” https://youtu.be/l7css6Vnggo . Church|Orthodox · · open to all https://www.facebook.com/notes/chrys-george/the-orthodox-churchcatholic-that-is-universal-open-to-all/1569667609735239/ …."|||#|"984308554403368960"|https://twitter.com/chrysgeorge/status/984308554403368960
HermCHO|2018-04-12 05:52|0|0|"Yea, and so is Chick-Fil-A appreciation day. Big fucking deal."||||"984278090405818368"|https://twitter.com/HermCHO/status/984278090405818368
MissAmericaPie|2018-04-12 03:12|6|6|"# Facebook BIAS Shut Down “Chick-Fil-A Appreciation Day” blocks posts from journalists, specific religious groups and most recently, grassroots Trump supporters # DiamondAndSilk.http://www.foxnews.com/opinion/2018/04/11/sen-ted-cruz-facebook-has-been-censoring-or-suppressing-conservative-speech-for-years.html …"|||# #|"984237749883502593"|https://twitter.com/MissAmericaPie/status/984237749883502593
Coddinator|2018-04-12 00:38|0|1|"87 million people's private data was leaked and all Ted Cruz is concerned about is that Facebook shut down "Chick-fil-a appreciation day" way to focus on the issues Ted"||||"984199128552038401"|https://twitter.com/Coddinator/status/984199128552038401
MOMV719|2018-04-11 23:45|1|0|"WATCH: Ted Cruz Grills Mark Zuckerberg Over 'Chick-fil-A Appreciation Day' Page Shuttering - http://www.thenewcivilrightsmovement.com/2018/04/watch-ted-cruz-grills-mark-zuckerberg-over-chick-fil-a-appreciation-day-page-shuttering/#.Ws6BsQJ8-dQ.twitter … Cruz uses his time for falicy about a campaign that was in 2015? # VoteBeto"|||# #|"984185646062489600"|https://twitter.com/MOMV719/status/984185646062489600
grilledcheees|2018-04-11 23:17|0|2|"Only Ted Cruz would have an issue with Facebook shutting down a "Chick-fil-A Appreciation Day" page"||||"984178704136814592"|https://twitter.com/grilledcheees/status/984178704136814592
thadd_eus|2018-04-11 21:15|0|0|"In hearing with Facebook's Mark Zuckerberg, Ted Cruz avoids questions about Cambridge Analytica ..... But he was worried about Chick fil A appreciation day though... https://www.dallasnews.com/business/technology/2018/04/10/mistake-sorry-facebook-ceo-mark-zuckerberg-faces-congress …"||||"984147988573548545"|https://twitter.com/thadd_eus/status/984147988573548545
ianbarnes_2|2018-04-11 20:43|0|1|"Ted Cruz actually complained IN FRONT OF CONGRESS that Facebook blocked the “Chick-fil-a appreciation day” Facebook page"||||"984139864244236288"|https://twitter.com/ianbarnes_2/status/984139864244236288
Hammocknaps|2018-04-11 18:41|0|0|"WATCH: Ted Cruz Grills Mark Zuckerberg Over 'Chick-fil-A Appreciation Day' Page Shuttering - http://www.thenewcivilrightsmovement.com/2018/04/watch-ted-cruz-grills-mark-zuckerberg-over-chick-fil-a-appreciation-day-page-shuttering/#.Ws46wTqspV8.facebook …"|||#|"984109248287330305"|https://twitter.com/Hammocknaps/status/984109248287330305
