username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
GamerNerdess|2018-05-03 01:46|0|3|"Time to end # Red4Ed! Get your lazy asses off your couches and do your damn jobs! It’s been a struggle for a lot of us parents to cater to your selfish tantrums. Take the deal and get back to work! Vote to raise taxes this November and knock this shit off!"|||#|"991826410300817408"|https://twitter.com/GamerNerdess/status/991826410300817408
mryangreen|2018-05-03 00:30|0|0|"@ dougducey Your "final offer" wasn't final. Your promise not to raise taxes as part of education reform is a lie. It's like you couldn't find the truth if it was mouth fucking you."||@||"991807045920698368"|https://twitter.com/mryangreen/status/991807045920698368
goroe3|2018-05-03 00:07|0|0|"You’re the one who wrote “when the state raised taxes to give me a raise”. Read your own tweet Ian. Your ability to say one thing and mean another is the stuff of legends."||||"991801484005330944"|https://twitter.com/goroe3/status/991801484005330944
GaTaxpayers|2018-05-02 23:50|0|1|"Cobb County: Lisa "Largesse" Cupid wants to raise your property taxes to pay for the county's outrageous employee benefits package http://www.mdjonline.com/news/millage-rate-increase-absolutely-necessary-says-commissioner-cupid/article_0e7e1026-4d74-11e8-9598-d717cd48116d.html …"||||"991797002022289408"|https://twitter.com/GaTaxpayers/status/991797002022289408
Brisy46|2018-05-02 23:43|0|1|"@ HouseDemocrats like to raise taxes. After, they use this money for to create programs that only benefits to foreigners immigrants while affect Media class that work very hard & deserve to pay less. DEM, We, citizens, pay your salary with our taxes. DON'T THROW AWAT our projects."||@||"991795344223719424"|https://twitter.com/Brisy46/status/991795344223719424
CLGantt|2018-05-02 23:42|0|1|"TAX CUTS AND REFORM, THE GOP WANTS TO MAKE THEM PERMANENT, THE DEMOCRATS WANT TO TAKE THEM AWAY FROM YOU. BS, VOTE FOR THE REPUBLICANS TO KEEP YOUR RAISE IN PAY!!!"||||"991795082960474118"|https://twitter.com/CLGantt/status/991795082960474118
NMP_never|2018-05-02 23:36|6|2|"This wins! This has got to be the most ridiculous of all your tweets so far. Willing to go the "extra mile" but won't have a town hall with your employers. You are a useless rep. You voted to raise our taxes in # IL14 Vote @ LUnderwood630"||@|#|"991793645832503298"|https://twitter.com/NMP_never/status/991793645832503298
KaceCrawford|2018-05-02 23:11|0|2|"Lol. Not only does ArGOP wanna raise taxes on food for a food insecure state but they want you to keep all your receipts for your *tax credit. All so the wealthy can get another tax break. I can’t with these evil people. Vote Democrat up/down so we can end this nightmare. https://twitter.com/collinsark/status/991748250158944256 …"||||"991787201020211209"|https://twitter.com/KaceCrawford/status/991787201020211209
AmyTMcInerny|2018-05-02 22:55|2|3|"If you're a tax payer in Virginia, this effects you. Please raise your voice to protect the health and dignity of young and low-income women! Take action! Spread the word. @ VACatholicConf @ KofCVa @ FrTomFerguson @ FatherLundberg @ JPWolfPack @ PVICM @ TepeyacOBGYN @ dmcprolifehttps://twitter.com/arlingtonchurch/status/991777498588483586 …"||@ @ @ @ @ @ @ @||"991783380420300801"|https://twitter.com/AmyTMcInerny/status/991783380420300801
jeffklein99|2018-05-02 22:22|0|1|"It is if you’re 35, have two kids, and it would take you 110 work hours/week to pay for rent, food, transportation, etc. But it’s a great job for your teen when they have no bills to pay! Want to teach job skills? Raise taxes to improve infrastructure and grow blue collar jobs"||||"991774936581652486"|https://twitter.com/jeffklein99/status/991774936581652486
SirGumbeaux|2018-05-02 22:08|3|42|"My company has given thousands of us a good raise 5 years straight. Not “because” of the tax cut, but because taking care of your employees is the right thing to do."||||"991771485722341376"|https://twitter.com/SirGumbeaux/status/991771485722341376
zta466|2018-05-02 22:01|0|0|"how is putting America first? Threatening our allies w/ tariffs to raise your prices? Cutting taxes causing us not to be able to cover our expense to military w/out borrowing money$? Allowing Russia to interfere in our elections? glad u have soc sec b/c won’t be 4 me b/c of him!"||||"991769631152099330"|https://twitter.com/zta466/status/991769631152099330
edod2002|2018-05-02 21:55|0|0|"Because waitresses or waiters get more than enough to carry food to the tables. Pathetic if we would be paying for bigger ribs then the waitress or waiter need a raise in kind. TGIFridays as a franchise I’m sure benefitted from corporate tax cuts, take care of your employees"||||"991768232498532352"|https://twitter.com/edod2002/status/991768232498532352
LostInAhs|2018-05-02 21:43|0|4|"Is this what you’ll be concerned with if you become senator? The deficit will hit $800M this year and $1T next year. What is your plan to tackle this? Will you raise taxes? On who? Will you cut spending? Be specific & show your work."||||"991765237228556288"|https://twitter.com/LostInAhs/status/991765237228556288
colbren90|2018-05-02 21:30|0|0|"You’re always free to send additional money to the government if you aren’t comfortable managing your own finances. We NEVER have to raise taxes- just cut government."||||"991761826978279424"|https://twitter.com/colbren90/status/991761826978279424
PritzkerMadigan|2018-05-02 21:24|1|3|"Fun game to play with your family: "How High Will Dems Raise Taxes? Illinois Edition." Closest guess gets a high-five and an income tax hike. Yay. https://bit.ly/2HLrBUc # twill"|||#|"991760410780033024"|https://twitter.com/PritzkerMadigan/status/991760410780033024
Maureen4Dogs|2018-05-02 21:03|0|0|"Please help us raise funds for medical dogs. Every dollar gives sick and injured death row dogs a new leash on life. In many cases it is the difference between life and death. Can you skip your Latte today and make a tax deductible donation to... https://www.facebook.com/story.php?story_fbid=10160319509400313&id=905900312 …"||||"991755069639950336"|https://twitter.com/Maureen4Dogs/status/991755069639950336
Pat_Morlen|2018-05-02 21:01|0|0|"Mayor Turner says he wants to put on the November Ballot a vote to lift the City Revenue Tax Cap in other words he wants to raise your taxes as high as he can every year"||||"991754614985850880"|https://twitter.com/Pat_Morlen/status/991754614985850880
VirgoMentality|2018-05-02 20:43|0|0|"Raise your hand or you wouldn’t mind going to the polls monthly to vote on every issue that concerns your tax dollars?"||||"991750073833975809"|https://twitter.com/VirgoMentality/status/991750073833975809
aoindependence|2018-05-02 20:34|0|0|"When did I ever write that I'm a hero? I didn't! If you want to raise the tax rates on companies like Amazon, Faxebook et al, then I wish you luck voting in a Congress & POTUS that supports your goals. I hope tech bigs continue the space stuff either way"||||"991747862987001856"|https://twitter.com/aoindependence/status/991747862987001856
THATMOMx4|2018-05-02 20:15|0|1|"Except we HAVE to raise taxes to pay to repair the state’s credit after you ranked it because you & your rich boyfriends had a tantrum about unions. Please just shut up."||||"991743049108729856"|https://twitter.com/THATMOMx4/status/991743049108729856
mashermack|2018-05-02 19:42|0|0|"If you raise invoices to your customers directly and send them the cool gadget by law you need to retain all the records for taxes, so the GRPR is invalid in this case"||||"991734577348730880"|https://twitter.com/mashermack/status/991734577348730880
scottsantens|2018-05-02 19:41|1|1|"Why would you assume that people not forced to work would not be able to find work? And Social Security is not disappearing, but even if it is someday reduced due to our refusing to raise taxes to fund it, that says nothing in support of your argument assuming control/dependency."||||"991734418392932353"|https://twitter.com/scottsantens/status/991734418392932353
TS_3502|2018-05-02 19:38|0|1|"You’d raise wages to £20 ph - where wld the funds come from - profit ? Higher prices ? Show figures on that. How much wld you Tax the 1%, how much wld it raise ? Guaranteed income - again, how much, from where ? Invest in infrastructure - how much, from where ? Your go."||||"991733728413184001"|https://twitter.com/TS_3502/status/991733728413184001
PCHScuba|2018-05-02 19:12|0|1|"Brett Bovard is feeling fantastic at PCH Scuba. Let's raise money for our hyperbaric chamber! Buy any gear ( ex. tanks, camera, weights) You get 15% off, 15% gets donated to the chamber and PCH pays your tax! For... https://www.facebook.com/PCHScuba/posts/10160541373385650 …"||||"991727041329451015"|https://twitter.com/PCHScuba/status/991727041329451015
KateStreetTweet|2018-05-02 19:03|0|0|"@ tc4az I am one of your constituents. I live in 85716. I would like you to know that I do not support a property tax raise for TUSD."||@||"991724985017221120"|https://twitter.com/KateStreetTweet/status/991724985017221120
HarrisCountyRP|2018-05-02 18:54|1|3|"When his plan to raise taxes in 2017 failed, we knew that Mayor Sylvester Turner would not take "NO" for an answer. Houston City Council needs to hear from you on why busting the # RevenueCap is a bad idea. Contact your council member & let them know you oppose the # TurnerTaxHike.pic.twitter.com/9Opst3lfHp"|||# #|"991722602044542977"|https://twitter.com/HarrisCountyRP/status/991722602044542977
GlobalGR|2018-05-02 18:28|0|0|"And this is why your side lost. The primary goal of your plan was to raise taxes. The public wants a plan to ease traffic congestion."||||"991716105914929152"|https://twitter.com/GlobalGR/status/991716105914929152
imatts16|2018-05-02 18:21|0|1|"Wow..talk about creating a new issue immediately after someone else made a statement on it. Pander to every level. I want your vote and yours and yours and.....ill lower your taxes raise yours, give you lower insurance and more power plants. Il lowr you GO train fee.I just love u"||||"991714342562418688"|https://twitter.com/imatts16/status/991714342562418688
jessicamonroe05|2018-05-02 18:18|0|0|"If you own a home in the TUSD, they want to raise your property tax."||||"991713535968202752"|https://twitter.com/jessicamonroe05/status/991713535968202752
Baystew13|2018-05-02 18:15|0|1|"That being said, they're not gonna make as much as a business executive, we do not have money in the budget to raise both funding for classrooms and teachers wages you can't have your both it's one or the other, the only way to do both is to raise taxes which is not gonna happen"||||"991712829982916609"|https://twitter.com/Baystew13/status/991712829982916609
ProActivTax|2018-05-02 17:50|0|0|"Delighted that our 2018-19 # FreshPerspective # tax #†axtips is available to help raise your # accountancy # accountant # tax firm's profile, increase the number of referrals and generate additional fees for your firm http://ow.ly/RfBc30hcQj0 pic.twitter.com/5Cg0EkYt0U"|||# # # # # #|"991706432398610433"|https://twitter.com/ProActivTax/status/991706432398610433
Tomoko_Tanue|2018-05-02 17:31|0|0|"question is, where are they going to get the funding from? cause if it involves increasing taxes. then your going to have an issue. so where is the money for their raise and other stuff coming from?"||||"991701726003523584"|https://twitter.com/Tomoko_Tanue/status/991701726003523584
rick_rails|2018-05-02 17:13|0|1|"This is only true if you first believe that only the rich pay taxes...I which case, your right. And we want to pay less. Tired of carrying the lazy and shiftless. A consumption tax will fix the problem, raise revenue, and require everyone to pay their way."||||"991697292037165059"|https://twitter.com/rick_rails/status/991697292037165059
RealAtomicElbow|2018-05-02 17:07|2|8|"The attack ads against Sanders would have been epic: “Communist rape fantasy guy who wants to raise your taxes 35%”. Yeah, Bernie would’ve won @ CitizensFedUp"||@||"991695750412230656"|https://twitter.com/RealAtomicElbow/status/991695750412230656
CoachCappy|2018-05-02 16:45|0|2|"Soap Box? You get off your soap box of trying to convince others that this was about taking your money (oh no they are going to raise my taxes). This was about Ducey not fulfilling his promise to fund education. He cut taxes and now the children and parents suffer for his lies"||||"991690064936681473"|https://twitter.com/CoachCappy/status/991690064936681473
Marknson|2018-05-02 16:33|0|0|"You mean raise their pay just so they can pay higher taxes so you can continue to support your illegals. Close the borders and raise their pay and help make Cali great again, thats a big duhhhh. # MAGA"|||#|"991687000401965056"|https://twitter.com/Marknson/status/991687000401965056
ARedmon2|2018-05-02 15:40|0|0|"What a great platform to run on. But add “we will raise your taxes to the moon” https://twitter.com/dbongino/status/991660145565425665 …"||||"991673667124854785"|https://twitter.com/ARedmon2/status/991673667124854785
timmy1999|2018-05-02 15:39|0|1|"So your hiding behind cops and firemen to raise taxes.... lol. How about cutting wasteful spending social programs that aren’t needed to run the city"||||"991673660992839680"|https://twitter.com/timmy1999/status/991673660992839680
ceesp0trun|2018-05-02 15:33|0|0|"You allow elites to keep there money with promises of reinvestments. It’s not happening where I live. No pay raise but the cost of housing and health insurance is raising. Your tax cuts are widening the Rich/ middle class gap."||||"991672064267309056"|https://twitter.com/ceesp0trun/status/991672064267309056
Minzy08524513|2018-05-02 15:24|0|0|"Since it is your position that Aquino -DID NOT borrow heavily, -DID NOT raise taxes AND achieve economic growth, please share your statistics to your claim"||||"991669699363639296"|https://twitter.com/Minzy08524513/status/991669699363639296
LiReHirsch|2018-05-02 15:00|0|0|"I'll see your taxes and raise you FBI clearance first. It shouldn't take 2 years to clear the FBI. Should it? https://twitter.com/lanebrooks/status/991658326139310085 …"||||"991663697977401344"|https://twitter.com/LiReHirsch/status/991663697977401344
FactsNotFakes|2018-05-02 14:54|0|0|"Hey, @ TheDemocrats @ DNC @ dccc- Here's all you need to know for # 2018Midterms (don't even bother w/video). Make plan to rebuff border wall talk, to flip criticism of "lawless Dems" (that also means no impeachment talk), and to respond to "Dems want to raise your taxes." Win."||@ @ @|#|"991662293778944000"|https://twitter.com/FactsNotFakes/status/991662293778944000
YellowStar0108|2018-05-02 14:31|0|3|"... Just because you believe Congress should raise taxes doesn’t mean you have to give up your tax return this year ..."||||"991656499343740928"|https://twitter.com/YellowStar0108/status/991656499343740928
aksarbent|2018-05-02 14:28|1|1|"@ Ann_Ashford Gee, @ RepDonBacon, I thought you said wealthy corporations were going to use your corporate tax cuts to hire more people and raise salaries. What happened? https://twitter.com/mortgageconsult/status/991650980793081856 …"||@ @||"991655725947551745"|https://twitter.com/aksarbent/status/991655725947551745
tobyrust|2018-05-02 14:19|0|0|"Hey y'all, I feel this is a good place to point out that the tax plan will raise all of your health insurance costs. And Sean knew it would. https://www.protectourcare.org/republicans-knew-premiums-would-go-up-when-they-sabotaged-your-health-care-but-they-did-it-anyway/ …"||||"991653352474750976"|https://twitter.com/tobyrust/status/991653352474750976
k_claridad|2018-05-02 13:43|0|0|"Back on duty,I see.Again,you’ve not addresed why the past admin(not admins as you’ve been insisting)didn’t raise taxes to build infra,grow the economy, fund other projects, etc. No matter how many times you’ve copy pasted your replies, you have never addressed this, emp08524513"||||"991644314643054593"|https://twitter.com/k_claridad/status/991644314643054593
Charlie_Hession|2018-05-02 12:56|2|1|"# Birmingham had rubbish piled high and rats roaming the streets under a # Labour council. They raise your council tax and fail to deliver. # London can't afford Labour councillors and councils. # localelections2018https://twitter.com/conservatives/status/991630407744610304 …"|||# # # #|"991632527776538624"|https://twitter.com/Charlie_Hession/status/991632527776538624
investometer|2018-05-02 09:42|0|0|"'Compromise' to raise your taxes to give more money to Utah schools. # taxation @ investorseurope  http://investorstaxfree.com/p/4095226612/2018/03/08/compromise-to-raise-your-taxes-to-give-more-money-to-utah-schools-taxation-investorseurope?utm_medium=social&utm_source=twitter …"||@|#|"991583577514135554"|https://twitter.com/investometer/status/991583577514135554
shelterdoc|2018-05-02 08:21|0|0|"and, of course, how it is an NDP conspiracy to raise your property taxes https://twitter.com/Lazin_Ryder/status/991356029580410880 …"||||"991563257772044289"|https://twitter.com/shelterdoc/status/991563257772044289
JeremyElrod26|2018-05-02 08:15|0|0|"The only way to pay for your plan is to raise taxes for dedicated revenue. And if you’re going to mock me with a nickname, that’s not a very good one. It’s kind of clunky. And where do you get $18 billion anyway?"||||"991561820564606976"|https://twitter.com/JeremyElrod26/status/991561820564606976
DunleavyWill|2018-05-02 08:08|0|0|"Lol no sir. I understand simple economics. Raise minimum wage government gets to take more of your check in taxes. And you really think companies are gonna pay more and not raise prices to save their bottom line? Silly silly boy"||||"991559971241312258"|https://twitter.com/DunleavyWill/status/991559971241312258
Hypocrite_Dems|2018-05-02 06:46|0|0|"Are you -being forced to raise wage? -was it Really Kamalas leadership that inspired you to raise wages or competition in a full employment economy? -or maybe the corporate tax breaks that your benefiting from because of DJT? Just be honest."||||"991539301535150080"|https://twitter.com/Hypocrite_Dems/status/991539301535150080
paulbentleymelb|2018-05-02 06:16|0|0|"And that’s your right. As a property owner I’m no fan of land tax either but it raise money to be spent in the community"||||"991531729746739200"|https://twitter.com/paulbentleymelb/status/991531729746739200
EuthyphroOfPhx|2018-05-02 05:59|0|0|"Imagine being so self entitled that your think you deserve a 20% raise even though nobody else has been given such a raise. Imagine being so self entitled that you think you can use other people's kids as political props to force tax payers to give you a 20% raise."||||"991527516555767808"|https://twitter.com/EuthyphroOfPhx/status/991527516555767808
NookAppolloni|2018-05-02 05:57|0|0|"Then it's pretty sad it's making such a positive difference to people after the true Crumbs we got under Obama an his HORRENDOUS financial running of our country lol stick with theDems like Pelosi who want to raise your taxes back up # PatheTIC # FactsOverFeeelings # Maga"|||# # #|"991527136321265666"|https://twitter.com/NookAppolloni/status/991527136321265666
NormalPeopleUS|2018-05-02 05:39|0|0|"This administration gave working Americans a tax cut. Your party wants to raise their taxes."||||"991522583085449217"|https://twitter.com/NormalPeopleUS/status/991522583085449217
NormalPeopleUS|2018-05-02 05:38|0|1|"The middle class got a tax break. Your party wants to raise their taxes."||||"991522292130832384"|https://twitter.com/NormalPeopleUS/status/991522292130832384
anotherstraycat|2018-05-02 05:29|0|0|"Raise. Fucking. Taxes. Pay people to do social works with the proceeds. The those people take the money and buy your shit. Jesus goddamned Christ. https://twitter.com/matthew_d_green/status/991344303594237952 …"||||"991520143988723713"|https://twitter.com/anotherstraycat/status/991520143988723713
MichelleLuttre6|2018-05-02 05:25|0|0|"@ JDMesnard Please vote NO on HB2479. I live in Chandler and this is bad for our schools and our city! Why would we exempt digital goods from paying sales tax as we try to raise funds to invest in education in AZ? Support your constituents and vote NO on this bill!"||@||"991518909667803137"|https://twitter.com/MichelleLuttre6/status/991518909667803137
